line,selector,property,value,classification,token_or_formula,note
555,.astra-input-gradient-filler,-fx-border-radius,12,visual-style-token,LauncherGeometry.INTRA_PANEL_MARGIN,Input filler bevel mirrors the shared ASTRA panel bevel family; clip radius is enforced in Java from LauncherGeometry.INTRA_PANEL_MARGIN.
556,.astra-input-gradient-filler,-fx-background-radius,12,visual-style-token,LauncherGeometry.INTRA_PANEL_MARGIN,Input filler bevel mirrors the shared ASTRA panel bevel family; clip radius is enforced in Java from LauncherGeometry.INTRA_PANEL_MARGIN.
570,.astra-run-progress-bar,-fx-border-radius,4,progress-visual-style-token,LauncherGeometryTokens.ACTION_PROGRESS_RADIUS,Bottom run-progress bar radius is derived in Java from ACTION_PROGRESS_RADIUS; CSS visual radius mirrors the compact lane style.
571,.astra-run-progress-bar,-fx-background-radius,4,progress-visual-style-token,LauncherGeometryTokens.ACTION_PROGRESS_RADIUS,Bottom run-progress bar radius is derived in Java from ACTION_PROGRESS_RADIUS; CSS visual radius mirrors the compact lane style.
10,.astra-button,-fx-padding,6 12,button-visual-style-token,ASTRA shared button CSS grammar,Button state geometry is tested through button-states diagnostics.
11,.astra-button,-fx-border-radius,5,button-visual-style-token,ASTRA shared button CSS grammar,Button state geometry is tested through button-states diagnostics.
12,.astra-button,-fx-background-radius,5,button-visual-style-token,ASTRA shared button CSS grammar,Button state geometry is tested through button-states diagnostics.
13,.astra-button,-fx-background-insets,0,zero-reset-token,FLUSH / zero reset,Intentional zero reset for JavaFX skin geometry.
18,.astra-button:pressed,-fx-translate-y,0,zero-reset-token,FLUSH / zero reset,Intentional zero reset for JavaFX skin geometry.
97,.astra-button-help,-fx-border-radius,9,button-visual-style-token,ASTRA shared button CSS grammar,Button state geometry is tested through button-states diagnostics.
98,.astra-button-help,-fx-background-radius,9,button-visual-style-token,ASTRA shared button CSS grammar,Button state geometry is tested through button-states diagnostics.
100,.astra-button-help,-fx-padding,0,zero-reset-token,FLUSH / zero reset,Intentional zero reset for JavaFX skin geometry.
106,.astra-settings-card,-fx-border-radius,7,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
107,.astra-settings-card,-fx-background-radius,7,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
119,.astra-settings-card:pressed,-fx-translate-y,0,zero-reset-token,FLUSH / zero reset,Intentional zero reset for JavaFX skin geometry.
144,.astra-badge-advanced,-fx-padding,3 8,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
145,.astra-badge-advanced,-fx-border-radius,11,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
146,.astra-badge-advanced,-fx-background-radius,11,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
177,.astra-workflow-chip,-fx-padding,7 12,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
178,.astra-workflow-chip,-fx-background-radius,16,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
179,.astra-workflow-chip,-fx-border-radius,16,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
208,.astra-header-action-rail-tab,-fx-padding,1 8 1 8,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
211,.astra-header-action-rail-tab,-fx-background-radius,8 8 0 0,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
212,.astra-header-action-rail-tab,-fx-border-radius,8 8 0 0,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
216,.astra-header-actions,-fx-padding,7 8,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
219,.astra-header-actions,-fx-background-radius,0 8 8 8,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
220,.astra-header-actions,-fx-border-radius,0 8 8 8,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
224,.astra-header-menu-button,-fx-min-width,82px,button-visual-style-token,ASTRA shared button CSS grammar,Button state geometry is tested through button-states diagnostics.
226,.astra-header-menu-button,-fx-padding,7 11,button-visual-style-token,ASTRA shared button CSS grammar,Button state geometry is tested through button-states diagnostics.
241,.astra-header-menu-chevron,-fx-translate-y,-1px,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
273,.astra-header-options-panel,-fx-background-radius,7,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
275,.astra-header-options-panel,-fx-border-radius,7,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
280,.astra-header-options-group,-fx-background-radius,6,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
282,.astra-header-options-group,-fx-border-radius,6,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
297,.astra-header-segment-button,-fx-border-radius,4,button-visual-style-token,ASTRA shared button CSS grammar,Button state geometry is tested through button-states diagnostics.
298,.astra-header-segment-button,-fx-background-radius,4,button-visual-style-token,ASTRA shared button CSS grammar,Button state geometry is tested through button-states diagnostics.
300,.astra-header-segment-button,-fx-min-width,76px,button-visual-style-token,ASTRA shared button CSS grammar,Button state geometry is tested through button-states diagnostics.
301,.astra-header-segment-button,-fx-pref-width,76px,button-visual-style-token,ASTRA shared button CSS grammar,Button state geometry is tested through button-states diagnostics.
321,.astra-section-shell,-fx-border-radius,8,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
322,.astra-section-shell,-fx-background-radius,8,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
329,.astra-section-content,-fx-border-radius,0 0 6 6,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
330,.astra-section-content,-fx-background-radius,0 0 6 6,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
335,.astra-section-content-focused,-fx-border-radius,6,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
336,.astra-section-content-focused,-fx-background-radius,6,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
353,.astra-card-dashboard,-fx-padding,2 6 2 6,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
357,.astra-card-dashboard-frame,-fx-padding,0,zero-reset-token,FLUSH / zero reset,Intentional zero reset for JavaFX skin geometry.
362,.astra-settings-view-toggle,-fx-padding,0 0 0 8,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
366,.astra-importance-legend,-fx-padding,0 0 4 0,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
373,.astra-importance-legend-title,-fx-padding,3 4 3 0,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
389,.astra-focused-section-header,-fx-background-radius,6,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
390,.astra-focused-section-header,-fx-border-radius,6,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
423,.astra-semantic-card,-fx-border-radius,6,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
424,.astra-semantic-card,-fx-background-radius,6,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
441,.astra-model-source-card,-fx-border-radius,5,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
442,.astra-model-source-card,-fx-background-radius,5,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
552,.astra-launcher-dialog-pane .button-bar,-fx-min-height,0,zero-reset-token,FLUSH / zero reset,Intentional zero reset for JavaFX skin geometry.
553,.astra-launcher-dialog-pane .button-bar,-fx-pref-height,0,zero-reset-token,FLUSH / zero reset,Intentional zero reset for JavaFX skin geometry.
554,.astra-launcher-dialog-pane .button-bar,-fx-max-height,0,zero-reset-token,FLUSH / zero reset,Intentional zero reset for JavaFX skin geometry.
555,.astra-launcher-dialog-pane .button-bar,-fx-padding,0,zero-reset-token,FLUSH / zero reset,Intentional zero reset for JavaFX skin geometry.
559,.astra-launcher-dialog-pane .button-bar .container,-fx-padding,0,zero-reset-token,FLUSH / zero reset,Intentional zero reset for JavaFX skin geometry.
563,.astra-settings-scroll,-fx-padding,0,zero-reset-token,FLUSH / zero reset,Intentional zero reset for JavaFX skin geometry.
574,.astra-settings-scroll,-fx-background-insets,0,zero-reset-token,FLUSH / zero reset,Intentional zero reset for JavaFX skin geometry.
586,.astra-settings-scroll .scroll-bar:vertical,-fx-pref-width,24px,mirrors-java-geometry-token,PipelineLauncher.LauncherGeometry scrollbar formula,Commented in CSS and tested against Java geometry.
587,.astra-settings-scroll .scroll-bar:vertical,-fx-min-width,24px,mirrors-java-geometry-token,PipelineLauncher.LauncherGeometry scrollbar formula,Commented in CSS and tested against Java geometry.
588,.astra-settings-scroll .scroll-bar:vertical,-fx-max-width,24px,mirrors-java-geometry-token,PipelineLauncher.LauncherGeometry scrollbar formula,Commented in CSS and tested against Java geometry.
589,.astra-settings-scroll .scroll-bar:vertical,-fx-padding,0 8 0 8,mirrors-java-geometry-token,PipelineLauncher.LauncherGeometry scrollbar formula,Commented in CSS and tested against Java geometry.
602,.scroll-pane .scroll-bar:horizontal,-fx-padding,6 0 3 0,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
603,.scroll-pane .scroll-bar:horizontal,-fx-pref-height,18px,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
608,.astra-settings-scroll .scroll-bar:horizontal,-fx-pref-height,0,zero-reset-token,FLUSH / zero reset,Intentional zero reset for JavaFX skin geometry.
609,.astra-settings-scroll .scroll-bar:horizontal,-fx-max-height,0,zero-reset-token,FLUSH / zero reset,Intentional zero reset for JavaFX skin geometry.
610,.astra-settings-scroll .scroll-bar:horizontal,-fx-padding,0,zero-reset-token,FLUSH / zero reset,Intentional zero reset for JavaFX skin geometry.
615,.scroll-pane .scroll-bar .thumb,-fx-background-radius,8,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
624,.scroll-pane .scroll-bar .track,-fx-background-radius,8,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
630,.scroll-pane .scroll-bar .decrement-button,-fx-padding,0,zero-reset-token,FLUSH / zero reset,Intentional zero reset for JavaFX skin geometry.
634,.astra-parameter-row,-fx-background-radius,6,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
639,.astra-dependent-panel,-fx-border-radius,7,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
640,.astra-dependent-panel,-fx-background-radius,7,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
708,.button.astra-collapsible-header,-fx-background-radius,6 6 0 0,button-visual-style-token,ASTRA shared button CSS grammar,Button state geometry is tested through button-states diagnostics.
709,.button.astra-collapsible-header,-fx-border-radius,6 6 0 0,button-visual-style-token,ASTRA shared button CSS grammar,Button state geometry is tested through button-states diagnostics.
711,.button.astra-collapsible-header,-fx-background-insets,0,zero-reset-token,FLUSH / zero reset,Intentional zero reset for JavaFX skin geometry.
723,.button.astra-collapsible-header:pressed,-fx-translate-y,0,zero-reset-token,FLUSH / zero reset,Intentional zero reset for JavaFX skin geometry.
745,.astra-parameter-label,-fx-padding,0,zero-reset-token,FLUSH / zero reset,Intentional zero reset for JavaFX skin geometry.
798,.text-area,-fx-border-radius,5,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
799,.text-area,-fx-background-radius,5,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
811,.combo-box-base.astra-combo,-fx-padding,0,zero-reset-token,FLUSH / zero reset,Intentional zero reset for JavaFX skin geometry.
837,.astra-combo-arrow-button,-fx-background-radius,0 4 4 0,button-visual-style-token,ASTRA shared button CSS grammar,Button state geometry is tested through button-states diagnostics.
848,.combo-box-popup .list-view,-fx-border-radius,5,popup-control-style-token,ASTRA popup/control CSS style token,Popup/control surfaces are styled in CSS; residual audit tracks popup families separately.
849,.combo-box-popup .list-view,-fx-background-radius,5,popup-control-style-token,ASTRA popup/control CSS style token,Popup/control surfaces are styled in CSS; residual audit tracks popup families separately.
877,.context-menu,-fx-background-radius,7,popup-control-style-token,ASTRA popup/control CSS style token,Popup/control surfaces are styled in CSS; residual audit tracks popup families separately.
879,.context-menu,-fx-border-radius,7,popup-control-style-token,ASTRA popup/control CSS style token,Popup/control surfaces are styled in CSS; residual audit tracks popup families separately.
880,.context-menu,-fx-padding,5,popup-control-style-token,ASTRA popup/control CSS style token,Popup/control surfaces are styled in CSS; residual audit tracks popup families separately.
884,.context-menu.astra-header-context-menu,-fx-min-width,390px,popup-control-style-token,ASTRA popup/control CSS style token,Popup/control surfaces are styled in CSS; residual audit tracks popup families separately.
885,.context-menu.astra-header-context-menu,-fx-pref-width,390px,popup-control-style-token,ASTRA popup/control CSS style token,Popup/control surfaces are styled in CSS; residual audit tracks popup families separately.
890,.astra-header-context-menu .custom-menu-item,-fx-min-width,374px,popup-control-style-token,ASTRA popup/control CSS style token,Popup/control surfaces are styled in CSS; residual audit tracks popup families separately.
891,.astra-header-context-menu .custom-menu-item,-fx-pref-width,374px,popup-control-style-token,ASTRA popup/control CSS style token,Popup/control surfaces are styled in CSS; residual audit tracks popup families separately.
892,.astra-header-context-menu .custom-menu-item,-fx-padding,5 7,popup-control-style-token,ASTRA popup/control CSS style token,Popup/control surfaces are styled in CSS; residual audit tracks popup families separately.
896,.astra-header-context-menu .astra-header-options-menu-item,-fx-padding,0,zero-reset-token,FLUSH / zero reset,Intentional zero reset for JavaFX skin geometry.
933,.tooltip,-fx-padding,4px 8px 4px 8px,mirrors-java-geometry-token,LauncherGeometryTokens tooltip inset formulas,CSS comment mirrors TOOLTIP_VERTICAL_INSET and TOOLTIP_HORIZONTAL_INSET.
934,.tooltip,-fx-border-radius,5,popup-control-style-token,ASTRA popup/control CSS style token,Popup/control surfaces are styled in CSS; residual audit tracks popup families separately.
935,.tooltip,-fx-background-radius,5,popup-control-style-token,ASTRA popup/control CSS style token,Popup/control surfaces are styled in CSS; residual audit tracks popup families separately.
958,.astra-help-summary-grid,-fx-border-radius,6,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
959,.astra-help-summary-grid,-fx-background-radius,6,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
988,.astra-help-details-shell,-fx-border-radius,7,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
989,.astra-help-details-shell,-fx-background-radius,7,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
995,.astra-help-details-accent,-fx-background-radius,7 0 0 7,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1001,.astra-help-details-scroll,-fx-padding,0,zero-reset-token,FLUSH / zero reset,Intentional zero reset for JavaFX skin geometry.
1015,.astra-help-detail-card,-fx-background-radius,6,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1016,.astra-help-detail-card,-fx-border-radius,6,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1057,.astra-channel-panel,-fx-border-radius,7,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1058,.astra-channel-panel,-fx-background-radius,7,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1073,.astra-channel-panel-chips,-fx-padding,2 0 0 0,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1079,.astra-channel-chip,-fx-border-radius,14,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1080,.astra-channel-chip,-fx-background-radius,14,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1122,.check-box.astra-checkbox .box,-fx-border-radius,4,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1123,.check-box.astra-checkbox .box,-fx-background-radius,4,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1137,.astra-dialog-pane .button,-fx-border-radius,5,button-visual-style-token,ASTRA shared button CSS grammar,Button state geometry is tested through button-states diagnostics.
1138,.astra-dialog-pane .button,-fx-background-radius,5,button-visual-style-token,ASTRA shared button CSS grammar,Button state geometry is tested through button-states diagnostics.
1144,.astra-output-pane,-fx-border-radius,8,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1145,.astra-output-pane,-fx-background-radius,8,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1152,.astra-animated-gradient-header,-fx-border-radius,6,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1153,.astra-animated-gradient-header,-fx-background-radius,6,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1157,.astra-output-header,-fx-padding,2 0 8 0,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1181,.astra-log-view,-fx-border-radius,6,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1182,.astra-log-view,-fx-background-radius,6,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1188,.astra-log-status-card,-fx-border-radius,6,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1189,.astra-log-status-card,-fx-background-radius,6,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1208,.astra-log-source-tab,-fx-padding,3 9 3 9,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1209,.astra-log-source-tab,-fx-background-radius,5 5 0 0,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1210,.astra-log-source-tab,-fx-border-radius,5 5 0 0,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1214,.astra-log-source-block,-fx-border-radius,6,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1215,.astra-log-source-block,-fx-background-radius,6,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1281,.astra-log-failure-summary,-fx-border-radius,6,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1282,.astra-log-failure-summary,-fx-background-radius,6,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1302,.astra-log-copy-button,-fx-border-radius,4,button-visual-style-token,ASTRA shared button CSS grammar,Button state geometry is tested through button-states diagnostics.
1303,.astra-log-copy-button,-fx-background-radius,4,button-visual-style-token,ASTRA shared button CSS grammar,Button state geometry is tested through button-states diagnostics.
1317,.astra-log-disclosure-button,-fx-border-radius,4,button-visual-style-token,ASTRA shared button CSS grammar,Button state geometry is tested through button-states diagnostics.
1318,.astra-log-disclosure-button,-fx-background-radius,4,button-visual-style-token,ASTRA shared button CSS grammar,Button state geometry is tested through button-states diagnostics.
1337,.astra-log-key-value-card,-fx-border-radius,5,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1338,.astra-log-key-value-card,-fx-background-radius,5,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1357,.astra-log-command-card,-fx-border-radius,5,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1358,.astra-log-command-card,-fx-background-radius,5,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1375,.astra-log-line-accent,-fx-background-radius,4,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1394,.astra-log-severity-badge,-fx-padding,2 5 2 5,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1395,.astra-log-severity-badge,-fx-background-radius,4,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1400,.astra-log-message-card,-fx-border-radius,6,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1401,.astra-log-message-card,-fx-background-radius,6,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1483,.astra-log-metric-badge,-fx-background-radius,999,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1484,.astra-log-metric-badge,-fx-padding,2 7 2 7,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1488,.astra-log-timeline-dot,-fx-background-radius,999,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1574,.astra-list-view,-fx-border-radius,5,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1575,.astra-list-view,-fx-background-radius,5,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1600,.astra-nested-panel,-fx-border-radius,6,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1601,.astra-nested-panel,-fx-background-radius,6,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1610,.astra-code-area,-fx-border-radius,5,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
1611,.astra-code-area,-fx-background-radius,5,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
